latitude,longitude
50.450100,30.523400
50.450250,30.523390
50.450400,30.523408
50.450550,30.523417
50.450700,30.523412
50.450850,30.523415
50.451000,30.523423
50.451150,30.523412
50.451300,30.523393
50.451450,30.523386
50.451599,30.523405
50.451749,30.523387
50.451899,30.523372
50.452049,30.523378
50.452199,30.523395
50.452349,30.523389
50.452499,30.523379
50.452649,30.523377
50.452799,30.523391
50.452949,30.523371
50.453098,30.523358
50.453248,30.523373
50.453398,30.523358
50.453548,30.523374
50.453698,30.523391
50.453848,30.523390
50.453998,30.523398
50.454148,30.523384
50.454298,30.523385
50.454448,30.523382
50.454598,30.523396
50.454748,30.523380
50.454898,30.523364
50.455048,30.523375
50.455198,30.523368
50.455347,30.523387
50.455497,30.523399
50.455647,30.523394
50.455797,30.523382
50.455947,30.523364
50.456097,30.523365
50.456247,30.523381
50.456397,30.523364
50.456547,30.523356
50.456697,30.523346
50.456847,30.523353
50.456997,30.523337
50.457147,30.523331
50.457297,30.523326
50.457447,30.523331
50.457597,30.523340
50.457747,30.523356
50.457897,30.523359
50.458047,30.523357
50.458197,30.523365
50.458347,30.523351
50.458497,30.523334
50.458647,30.523339
50.458797,30.523322
50.458947,30.523333
50.459097,30.523322
50.459247,30.523318
50.459397,30.523326
50.459547,30.523308
50.459697,30.523313
50.459847,30.523316
50.459997,30.523314
50.460147,30.523304
50.460297,30.523295
50.460447,30.523283
50.460597,30.523290
50.460747,30.523291
50.460897,30.523279
50.461047,30.523263
50.461197,30.523277
50.461347,30.523264
50.461497,30.523261
50.461647,30.523275
50.461797,30.523263
50.461947,30.523264
50.462097,30.523260
50.462247,30.523258
50.462397,30.523275
50.462547,30.523266
50.462697,30.523263
50.462847,30.523245
50.462997,30.523227
50.463146,30.523243
50.463296,30.523261
50.463446,30.523272
50.463596,30.523282
50.463746,30.523269
50.463896,30.523278
50.464046,30.523265
50.464196,30.523263
50.464346,30.523254
50.464496,30.523235
50.464646,30.523219
50.464795,30.523238
50.464945,30.523237
50.465095,30.523239
50.465246,30.523242
50.465396,30.523251
50.465546,30.523264
50.465695,30.523249
50.465845,30.523255
50.465995,30.523269
50.466145,30.523277
50.466296,30.523273
50.466446,30.523274
50.466595,30.523294
50.466745,30.523279
50.466895,30.523294
50.467045,30.523289
50.467195,30.523284
50.467345,30.523277
50.467495,30.523290
50.467645,30.523302
50.467795,30.523312
50.467945,30.523300
50.468095,30.523286
50.468245,30.523291
50.468395,30.523293
50.468545,30.523313
50.468695,30.523318
50.468845,30.523305
50.468995,30.523297
50.469145,30.523318
50.469294,30.523337
50.469444,30.523336
50.469595,30.523343
50.469745,30.523337
50.469895,30.523334
50.470045,30.523324
50.470195,30.523309
50.470345,30.523304
50.470495,30.523288
50.470645,30.523297
50.470794,30.523281
50.470945,30.523278
50.471095,30.523278
50.471245,30.523281
50.471395,30.523296
50.471545,30.523296
50.471695,30.523281
50.471845,30.523281
50.471995,30.523286
50.472145,30.523300
50.472295,30.523286
50.472445,30.523284
50.472595,30.523275
50.472745,30.523258
50.472895,30.523248
50.473045,30.523263
50.473195,30.523269
50.473344,30.523251
50.473495,30.523256
50.473644,30.523273
50.473794,30.523258
50.473944,30.523253
50.474094,30.523263
50.474244,30.523270
50.474394,30.523271
50.474544,30.523251
50.474694,30.523254
50.474844,30.523260
50.474994,30.523278
50.475144,30.523264
50.475294,30.523276
50.475444,30.523283
50.475594,30.523280
50.475744,30.523296
50.475894,30.523283
50.476044,30.523299
50.476194,30.523292
50.476344,30.523284
50.476494,30.523293
50.476644,30.523303
50.476794,30.523313
50.476944,30.523324
50.477094,30.523332
50.477244,30.523335
50.477394,30.523327
50.477544,30.523315
50.477694,30.523306
50.477844,30.523326
50.477994,30.523329
50.478144,30.523334
50.478294,30.523316
50.478444,30.523300
50.478593,30.523285
50.478743,30.523265
50.478893,30.523250
50.479043,30.523250
50.479193,30.523237
50.479343,30.523226
50.479493,30.523237
50.479643,30.523228
50.479793,30.523233
50.479943,30.523216
50.480093,30.523207
50.480243,30.523191
50.480393,30.523190
50.480542,30.523208
50.480692,30.523218
50.480843,30.523221
50.480993,30.523225
50.481143,30.523236
50.481293,30.523251
50.481443,30.523249
